昵称,地区,日期,评论,评论点赞
￴ ￴ ￴ ￴ ￴ ￴￴￴,山西,2025-03-01 13:44:52,特别的人啊[流泪][流泪][流泪][流泪][流泪][流泪],104108
ads,安徽,2025-03-01 13:44:51,相聚离开都有时候 没有什么会永垂不朽,29624
景点女装,江西,2025-03-01 13:45:16,特别的人[玫瑰][玫瑰][玫瑰],5520
JUNJUN,湖南,2025-03-01 13:44:50,可是我超喜欢他的音乐[流泪],11904
赤道偏北第一深情,辽宁,2025-03-01 13:44:40,多少天长地久 有几回细水长流,8040
CCchuan,湖北,2025-03-01 13:58:27,珍惜眼前人[流泪],3450
雨长眠,重庆,2025-03-01 13:44:42,大同[流泪][流泪][流泪]晚安,1072
别搞我啊,广东,2025-03-01 13:44:42,一路走好我们会永远记住你,2475
u,四川,2025-03-01 13:44:45,[玫瑰][玫瑰]一路走好,666
小塔宝,浙江,2025-03-01 13:44:53,方大同上一条抖音还在祝粉丝平安健康[流泪],152339
沈华文,上海,2025-03-01 13:44:54,刚好在听他的歌，特别的人，[感谢][感谢][感谢],24862
无解,贵州,2025-03-01 13:44:50,啊，很喜欢他的麦恩莉啊[流泪][流泪][流泪],64951
饿幺酒寝室长,北京,2025-03-01 13:44:34,如此年轻的方大同！[流泪][流泪][流泪],37864
敖宗杭,广东,2025-03-01 14:07:01,我滴天 每个都好突然[流泪][流泪][流泪]熟悉的童年在慢慢倒塌,1212
叶湘伦^,广西,2025-03-01 13:58:55,特别的人[流泪],1873
sly_,黑龙江,2025-03-01 13:44:50,当音符成为时光的刻度，你的旋律早已镌刻进无数人的生命轨迹。无论是《春风吹》里跃动的灵性，还是《悟空》中撕裂长空的追问，你用R&B的丝绒质地包裹着东方哲思，在喧嚣世界里搭建起一座座停泊灵魂的音乐岛屿。今夜琴键无声，而所有被你治愈过的耳朵，都将成为延续歌声的星河，大同再见，愿世界大同,5918
浮世清欢落颜（李信）,广西,2025-03-01 15:15:17,特别喜欢他的作品《特别的人》[九转大肠][九转大肠],155
小猫多鱼,河北,2025-03-01 16:33:10,最近好像一直在告别，大家好好珍惜眼前人吧 [感谢],17
苏州网约车出行～恋恋,江苏,2025-03-01 13:44:26,不会吧，陪伴了我整个中学时代的音乐家 [流泪],26717
Plan D,广东,2025-03-01 13:44:48,我还想以后去听他的演唱会[流泪][流泪][流泪],12673
Saber,广东,2025-03-01 13:44:50,不敢相信 上午还在听他的歌[流泪][流泪][流泪],4287
小零同学,广东,2025-03-01 13:59:16,每次车上必听他的歌[流泪][流泪],293
AB同学💽,四川,2025-03-01 14:31:53,他的R&B在华语界非常有口皆碑，41岁，太年轻了…,255
韩雨倩,江苏,2025-03-01 14:23:33,？什么 什么,11
蔡鹤峰,广东,2025-03-01 14:55:14,啊？？,149
Kaka,浙江,2025-03-01 13:44:41,🕯️特别的人,3414
小零同学,广东,2025-03-01 13:58:32,刚睡醒得知消息我不敢相信[流泪][流泪][流泪]直接听到被惊醒,403
各地往事,江苏,2025-03-01 14:14:11,去世快十天了 网上才知道,615
桔梗,江西,2025-03-01 13:44:49,？？？不要啊哥 快出来辟谣啊[流泪][流泪][流泪][流泪],1045
灰理,广东,2025-03-01 13:44:49,震惊啊![流泪][流泪][流泪]难以置信[流泪][流泪][流泪],918
just for DRoseY,广东,2025-03-01 13:44:49,[流泪][流泪][流泪]哭了，刚刚还在听,1154
Koi,福建,2025-03-01 13:44:37,我滴天 每个都好突然[流泪][流泪][流泪],3196
zdFEng,北京,2025-03-01 13:44:53,啊？啊？啊？今天不是愚人节呀[流泪][流泪][流泪],3345
aoi胡桃酱,黑龙江,2025-03-01 13:44:45,不敢相信，如此年轻有才华的人,749
情报马（无畏契约）,重庆,2025-03-01 13:51:30,rip🕯,71
